ASN,Org,IPs,Providers,Names
36007,KAMATERA,3,2,"FlowVPN, VPNSecure"
43641,SOLLUTIUM-NL,3,2,"Hide.me, Tor"
44709,CLOUDWEBMANAGE-,3,3,"FlowVPN, Ra4w, VPNSecure"
46261,QUICKPACKET,3,3,"GhostPath, Slickvpn, Slickvpncore"
52469,Offshore Racks S.A,3,3,"FlowVPN, GhostPath, Slickvpn"
56322,SERVERASTRA-AS,3,5,"GhostPath, Slickvpn, Slickvpncore, Tor, Zoogvpn"
56694,SMARTAPE,3,2,"CactusVPN, HideIPVPN"
59787,WEBHS WEBSP LDA,3,4,"FastestVPN, GhostPath, Slickvpn, Surfshark"
59895,BINARYRACKS-AS,3,3,"FlowVPN, Ra4w, Vpnarea"
61102,INTERHOST,3,4,"GhostPath, Slickvpn, Vpnarea, Zoogvpn"
62296,VITALNG,3,3,"GhostPath, Slickvpn, Slickvpncore"
210329,CLOUDWEBMANAGE-UK-1,3,2,"FlowVPN, VPNSecure"
212477,ROYALE-AS,3,2,"KevinVPN, Tor"
213035,AS-SERVERION Serverion B.V.,3,2,"Getflix, Smartdnsproxy"
214677,DELUXHOST,3,2,"KevinVPN, Tor"
399646,DARTNODE,3,2,"KevinVPN, Tor"
3741,IS,2,2,"Bulletvpn, Vpnarea"
6364,ATLANTIC-NET-1,2,3,"Getflix, HideIPVPN, Smartdnsproxy"
8075,MICROSOFT-CORP-MSN-AS-BLOCK,2,2,"VPN Gate, Vpnarea"
14586,NUCLEARFALLOUT-CHI,2,2,"CactusVPN, LimeVPN"
15440,BALTNETA Customers AS,2,2,"AnonymousVPN, FlowVPN"
16125,CHERRYSERVERS1-AS,2,2,"VPN.ac, Vpnarea"
24806,"INTERNET-CZ Ktis 2, 384 03 Ktis",2,2,"SwitchVPN, Vpnarea"
27323,SERVERSTADIUM,2,2,"KeepSolid VPN Unlimited, Safervpn"
29302,HSI-EUROPE,2,3,"GhostPath, NetShade, Slickvpncore"
30736,ASERGO-AS,2,3,"Getflix, Smartdnsproxy, Vpnht"
32374,NUCLEARFALLOUT-LAX,2,2,"CactusVPN, LimeVPN"
34971,PDDA-AS,2,3,"GhostPath, Slickvpn, Slickvpncore"
36236,NETACTUATE,2,3,"GhostPath, Slickvpn, Tor"
41075,ATW-AS,2,2,"Ra4w, Tor"
42160,LCPDCO LCP AS dc oostkamp,2,2,"Slickvpn, SwitchVPN"
44066,DE-FIRSTCOLO firstcolo.net,2,2,"KevinVPN, Slickvpn"
45146,RAJASA-AS-ID-AP PT. Raja Sepadan Abadi,2,3,"GhostPath, Slickvpn, Vpnarea"
46015,EXABYTES-AS-AP Exa Bytes Network Sdn.Bhd.,2,2,"GhostPath, Slickvpn"
50867,ORG-LVA15-AS,2,2,"Vpnarea, Vpnht"
52173,MAKONIX,2,2,"AnonymousVPN, Ra4w"
56803,AS-DATASOURCE,2,2,"Hide.me, Tor"
58940,DEDAUS-AS-AP Dedicated Servers Australia,2,2,"GhostPath, Slickvpn"
58955,"BANGMODENTERPRISE-TH Bangmod Enterprise Co., Ltd.",2,2,"AzireVPN, PrivateVPN"
59432,GINERNET,2,2,"GhostPath, Slickvpn"
62217,VOOSERVERS,2,2,"GhostPath, Slickvpn"
63452,VELOCIHOST,2,3,"GhostPath, Slickvpn, Slickvpncore"
137373,IDNIC-SUITEN-AS-ID PT. SUITEN INOVASI SUKSES,2,2,"AzireVPN, ProtonVPN"
138199,TRANSATEL1-AS-AP Transatel,2,3,"GhostPath, Slickvpn, SwitchVPN"
197328,ISTANBULDC1,2,2,"Hide.me, Vpnarea"
198203,ASN-ROUTELABEL,2,2,"GhostPath, Slickvpn"
201011,CORE-BACKBONE CORE-BACKBONE GMBH GLOBAL NETWORK,2,3,"FlowVPN, GhostPath, Slickvpn"
201924,LERTAS-AS,2,2,"PrivateVPN, TorGuard"
205053,AWEB-ASN,2,2,"Bulletvpn, GhostPath"
209378,INIOS-AS,2,2,"Ivacy, Purevpn"
212531,INTERNETO-VIZIJA,2,2,"HideIPVPN, PrivateVPN"
329184,Host-Africa-AS2,2,2,"AnonymousVPN, Tor"
329268,SS7-AS,2,2,"FlowVPN, Vpnarea"
399471,AS-SERVERION,2,2,"Getflix, Smartdnsproxy"
400475,NUCLEARFALLOUT-DAL,2,2,"CactusVPN, LimeVPN"
3842,RAMNODE,1,2,"GhostPath, Slickvpn"
6428,CDM,1,2,"GhostPath, Slickvpn"
10297,ENET-2,1,2,"GhostPath, Slickvpn"
10929,ESTRUXTURE-QC-10929,1,3,"GhostPath, Slickvpn, Slickvpncore"
12400,PARTNER-AS,1,2,"GhostPath, Slickvpn"
21581,M5HOSTING,1,2,"GhostPath, Slickvpn"
29580,A1BG_RSG A1 EAD,1,2,"GhostPath, Slickvpn"
31122,DIGIWEB-AS,1,2,"GhostPath, Slickvpn"
31863,DACEN-2,1,2,"GhostPath, Slickvpn"
36114,VERSAWEB-ASN,1,3,"GhostPath, Slickvpn, Slickvpncore"
45032,FABIT-AS,1,2,"GhostPath, Slickvpn"
45413,SERVENET-AS-TH-AP ServeNET Solution Limited Partnership,1,2,"GhostPath, Slickvpn"
47521,IPHOST .GR IpDomain,1,2,"Getflix, Smartdnsproxy"
52201,TCTEL,1,2,"GhostPath, Slickvpn"
199319,VOICE-NET-AS,1,2,"GhostPath, Slickvpn"
213934,IPV1-SIA-AS,1,2,"GhostPath, Slickvpn"
